score,comentario,opinion
1.0,"Tuve una serie de problemas con ellos. Primero me pusieron en descubierto, cuando se supone que es una cuenta gratuita, sin comisiones, etc. No tenía deudas ni nada. Segundo: en una promoción que hicieron de una pizza mediana gratis al gastar 100€ me pusieron muchos problemas para aceptarme esa promoción, habiendo cumplido yo todos los requisitos. Juzgad por vosotros mismos/as como se las gasta esta gente",Opinión sobre Openbank
1.0,"SON LO PEOR!!!!! 3 meses para abrir la cuenta online. Aún así, no puedo operar porque no te facilitan las claves, tampoco puedes acceder ni a la APP, ni mediante su pagina web, etc. Mucho secretismo!!! no dan información, son lo peor que me he encontrado en mi vida!! y eso para una cuenta básica ONLINE, que se supone era lo más sencillo de abrir. ****Entidad con ""gato encerrado"".",Opinión sobre Openbank
5.0,Banco perfecto soluciones rapidas todo gratis y con el respaldo del santander,Opinión sobre Cuenta Corriente Open
3.0,mas barato que mi banco de antes y sin demasiadas complicaciones para tener la hipoteca con ellos. Le pongo 3 estrellas,Opinión sobre Trae tu Hipoteca Fija
4.0,"he conseguido rebajar el interes de mi hipoteca casi a la mitad, atención rapida y me dan la posibilidad de financiar los gastos",Opinión sobre Trae tu Hipoteca Variable
1.0,"Dos meses y pico esperando que me dieran de alta. Me pidieron muchísima documentación, parece ser que por ser autónoma porque era cuenta conjunta y a mi pareja no le pidieron casi nada, y nada, mails y llamadas y que tengo que esperar a que me hagan un formulario telefónico para terminar el alta. He tenido que llamar dos veces para conseguir que cancelaran la solicitud de alta porque no te dejaban hacerlo online. Cero seriedad ya desde antes de darles tu dinero. No recomendable",Opinión sobre Openbank
1.0,"Era mi banco, envié toda la documentación con una tasación bastante superior al precio de compra, me deniegan la hipoteca sin dar explicaciones de cuales requisitos supuestamente no cumplo. La cuota era menos del 30%de mi sueldo neto, indefinido de 3 años y medio de antigüedad y todos los ahorros necesarios para entrada y gastos. Al pedir explicaciones el gestor me da largas porque ni él tiene idea de la razón lógica para denegar una hipoteca en estas condiciones. En fin, una clienta menos.",Opinión sobre Hipoteca Open Fija
2.0,"ojito con los recibos domiciliados, nose ajustan a las fechas (minimo 3 dias) y lo devuelven casi de inmediato para generar gastos",Opinión sobre Openbank
1.0,Mala experiencia. Cuando se llega a la letra pequeña ya no es lo que anuncian.,Opinión sobre Hipoteca Open Mixta
1.0,"****. Dícese de algunos emplead@s de Openbank...... Les pongo una STAR porque no hay media. Se saltan las normas y protocolos cuando les interesa. Están a años luz de ING, necesitan reciclarse (algun@s) en atención al cliente. No sigo ni cuento mi caso. No suelo escribir en la web, pero esto es tan indignante que siento rabia e impotencia del mal trato recibido. En fin ,suerte a quien quiera la tarjeta del hormiguero.",Opinión sobre Openbank
1.0,"Vivo una situación de impotencia total, soy cliente de Openbank desde hace más de 15 años, con Hipoteca y Nómina domiciliada en Openbank, y que te **** tú dinero y más de 1 mes de llamadas diarias sin ninguna respuesta... Te dicen que no les llames más por teléfono 911773310 que ya te contestarán por escrito, cuando por Ley y el Seguro bancario tienen para reintegrar la cuantía robada en 24 ó 48 horas, Según Real Decreto-ley 19/2018, de 23 de noviembre, de servicios de pago ¡¡Cuidado Openbank¡¡",Opinión sobre Openbank
5.0,"No hay truco, buenas condiciones y buena atención al cliente. Tuve un problema de estafa por clonación de tarjeta y me lo resolvieron rapidísimo. Por ser miembro tienes descuentos y promociones, sorteos... y todas las facilidades para fraccionar pagos, etc. Lo recomiendo.",Opinión sobre Openbank
1.0,"Realice las gestiones y les facilite todos los datos , me comentaron que estaba preconcedida, y que me harían el estudio para acabar de concretar. Pedí el 80% ya que el 20%+gastos lo tenía sin problemas. Me pidieron nominas, irpf y más documentos. Pues ahora me dicen que esta denegada, ya que no me pueden dar el 80% que es mucho importe, cuando mi gasto mensual de hipoteca no llegaría ni el 20% de mis ingresos.Tampoco me aclaran el motivo. te hacen perder el tiempo y es publicidad ****",Opinión sobre Openbank
1.0,"Me hice una cuenta hace poco porque no te cobran comisiones y todo se puede hacer vía online. Pero, ya he enviado un par de correos para que me informen acerca de un procedimiento del que estoy pendiente, y al momento te llega un email automático diciendo que han recibido tu correo correctamente y que en breve se pondrán en contacto. Pero, de breve nada. Tardan semanas en contactar y resolver tu problema. Vaya banco online!!",Opinión sobre Openbank
2.0,"Pésima atención, no solucionan los problemas lo achacan a que han crecido mucho en poco tiempo.",Opinión sobre Openbank
5.0,"Estoy bastante contento. Yo venía huyendo del Santander y aquí todo distinto. 0 comisiones y con los cajeros de Santander gratis. Además, nada de oficinas. A los de las oficinas de Santander que les ****",Opinión sobre Cuenta Nómina Open
1.0,"Un desastre de banco, tengo la cuenta de un club deportivo con ellos y todo son problemas. Imposible pedir documentación.",Opinión sobre Openbank
5.0,"Todo perfecto y rapidísimo. Decidir indentificarse por el IBAN de otras de nuestras cuentas y listo. Dos días ya tenemos la cuenta operativa y funcionando( para hipoteca con UCI, altamente también recomendado). Alucino con las opiniones malas sobre solicitud de documentación. Se entiende que toda esta gente tiene agujeros, chanchullos y cosas bien oscuras porque sino es inentendible que no se puedan abrir una cuenta.",Opinión sobre Openbank
1.0,Como cuenta de ahorro no tiene ninguna ventaja. Rentabilidad bajísima y ridicula. Este producto no merece para nada la pena,Opinión sobre Cuenta Ahorro Openbank
4.0,"Buscaba alternativas para evitar comisiones y  he abierto 3 cuentas para ver al final cual me convence más. Una en openbank y por ahora todo bien sin problemas,ya me ha llegado la tarjeta, todo. Otra en imaginbank ,igual perfecto todo y otra en BBVA;fatal y creo que la voy a cancelar.7 veces he enviado copia del dni y me dicen que no se ve bien los datos, yo lo veo perfecto, me quede sin tinta en la impresora, esta mañana mande las ultimas.Si me las rechazan desestimare abrir la cuenta.",Opinión sobre Cuenta Corriente Open
5.0,La diferencia que hay con el Santander es enorme. La app funciona muy bien y 0 comisiones.,Opinión sobre Cuenta Corriente Open
4.0,"Por ahora todo bastante bien. Los escogí sobre todo por lo de la devolución de recibos y lo de que son online y tema comisiones y demás. Los descuentos por ahora no los he podido usar, quizá cuando todo vuelva a la normalidad. A falta de usar descuentos, por el momento muy contento",Opinión sobre Openbank
1.0,De los peores bancos online,Opinión sobre Openbank
1.0,"soy pensionista y tengo en opnebank domiciliado el importe de la pensión mientras en otros bancos la pensión la abonanen cuenta a finales del mes anterior al que corresponde la pensión, openbank la abona más tarde, al principio de dl mes corrspondiente, pero , en el mes de abril 2020 lo ha abonado el día 21 de abril,con 21 días de retraso y en mayo aún no he recibido en cuenta nada. además no respetan la fecha de valor de primeros de mes, sino la fecha tardía en la que hacen el abono. muy mal",Opinión sobre Openbank
1.0,Se equivocaron con el nombre y los apellidos al entregarme la tarjeta de crédito. He hablado hasta con 3 agentes diferentes y la solución es no hacer nada. Así que he decidido dar de baja la cuenta.,Opinión sobre Openbank
4.0,"Con  OpenBank todo perfecto, me han llamado varias veces y se han puesto en contacto rápido . todo OK",Opinión sobre Cuenta Corriente Open
1.0,"hace mas de un mes abri una cuenta por internet, tenia ke ir 3 veces a un banco santander para traer una copia de passaporte y para pagar dinero para abrir. hasta hoy mi cuenta no es activada😅hoy fui otra vez al santander y abri una cuenta directamente alli en menos de 10 minuntos!",Opinión sobre Openbank
5.0,de momento todo bien con la cuenta de ahorro openbank,Opinión sobre Cuenta Ahorro Bienvenida
1.0,"Muy mala gestión, cuando muchas de mis compañeras de trabajo han cobrado desde ayer el ERTE, a mi hoy me dicen por teléfono que lo más probable que hasta mañana no lo cobraré, que no entienden porqué lo han cobrado mis compañeras.",Opinión sobre Openbank
2.0,"Estar en ASNEF por un Error de Openbank de no cobrar or recobrar  4 meses ( Dec 2019 hasta Abril 2020) las cuotas de mis prestamos porque el sistema no ha reconocido la proteccion de descubierto de la cuenta que tenia activa. Todo esto tiempo recibiendo cada mes cartas que tengo deudas y que solo tengo que ingresar dinero en la cuenta. Aunque he ingresado dinero, la situacion la misma... y en Marzo ya empeze de recibir cartas que estoy en ASNEF...!!! Toda la anxieda que te da esta situacion",Opinión sobre Openbank
1.0,fatal,Opinión sobre Openbank
1.0,"He realizado los tramites de apertura y no abren la cuenta, merecen el cierre tan pronto como sea posible",Opinión sobre Openbank
4.0,Siguiendo las recomendaciones de uno de los consultores de helpmycash.com he acudido a Openbank para conocer las condiciones. Efectivamente corroboro lo anunciado por el sr. Abellán. Muchas gracias por la información.,Opinión sobre Cuenta Corriente Open
1.0,Atención lenta y mala. He tenido que llamar 4 veces (20 minutos cada llamada) para que me dejen operar por un fallo suyo. Solución: cuenta cancelada y me voy a otro banco.,Opinión sobre Openbank
2.0,"Hace mas de un mes que abri cuenta online y todavia estoy a la espera un mes y nedio despues que este operativa, con varias llamadas semanales por mi parte. Muy mala gestion.",Opinión sobre Openbank
2.0,"Solicite el reembolso de mi fondo de inversión el 18 de Marzo, estamos a 13 de abril y sigue sin estar el dinero disponible.",Opinión sobre Openbank
3.0,Muy amables los gestores pero no me mandan clave d acceso y aseguran haberla enviado hace dos meses por correo certificado.?...,Opinión sobre Openbank
1.0,"Informaciøn ***, el 5% no es anual, y creo que es una información que hay que darla de primeras para no hacer perder el tiempo a nadie.",Opinión sobre Cuenta Nómina Open
1.0,Banca de la época Mary Poppins,Opinión sobre Openbank
5.0,"Lo mejor es que si compras por Internet en moneda distinta al euro no cobran comisiones, solo aplica el tipo de cambio proporcionado por Mastercard.",Opinión sobre Tarjeta Prepago eCard
2.0,La pagina es muy lenta.,Opinión sobre Cuenta Corriente Open
1.0,"Coincido con todas las opiniones negativas. Son totalmente ineficaces. Por suerte nunca les envie dinero, y actualmente les he prohibido que activen la cuenta, porque no me inspiran ninguna confianza. Hay que huirles!!!",Opinión sobre Openbank
1.0,huyen :-( son ****! me han denegado finalizar la creacion de mi cuenta per se han quedado con el dinero transferido,Opinión sobre Openbank
3.0,En general bien. Punto negativo. Una sola oficina en España,Opinión sobre Openbank
1.0,"Deben mejorar ostensiblemente el diseño de su web. Carga demasiados programas que ralentizan el acceso y navegavilidad.Recomiendo un ordenador ""potente"" para trabajar con este banco.",Opinión sobre Openbank
1.0,"Un desastre, una pesadilla. Me han costado tiempo y dinero valiosos. Todo está bien si nunca tienes un problema, pero si te...... preparas para la frustración y el dolor",Opinión sobre Cuenta Corriente Open
1.0,Un consejo evitarlo te ahorras disgusto  innecesario,Opinión sobre Openbank
1.0,"Mala gestión e ineficaces si tenías pensado abrir una cuenta no la abras. Te bloquean la cuenta alegando que te falta documentación, la envías y sigues con la cuenta bloqueada y sin tener acceso a tu dinero. Me he sentido engañada. No son de fiar.",Opinión sobre Openbank
1.0,"Lenta y mala atención al clientePiden documento de identidad continuamente, lo envias  y te bloquean la cuenta . Espero se coordinen un poco mejorNefasta gestión",Opinión sobre Openbank
1.0,"Mala gestión e ineficaces si tenías pensado abrir una cuenta no la abras. Te bloquean la cuenta alegando que te falta documentación, la envías y sigues con la cuenta bloqueada y sin tener acceso a tu dinero. No son de fiar",Opinión sobre Openbank
2.0,No es compatible la cuenta nomina con la cuenta de ahorro nomina. O eliges una promoción u otra.,Opinión sobre Cuenta Nómina Open
1.0,"Alguna vez os habéis sentido engañados y ""maltratados"" sin poder defenderos?.Si aún no, podéis sentir la experiencia en este proyecto de banco. Es como las operadoras de telefonía pero a lo bestia.",Opinión sobre Openbank
1.0,Mala gestión de atención al cliente y nada de ayuda ante problemas causados por ellos mismos.,Opinión sobre Openbank
1.0,"Mala experiencia, tuve que reclamar el dinero del plan amigo porque se hacían los despistados y tardaron 2 meses en dármelo.No se pueden hacer ingresos en todas las sucursales de Banco Santander, según la sucursal de Cobeña, tiene que ser una ""Oficina Universal"" , algo de lo que no avisan cuando contratas la cuenta. Si llego a saber que me tengo que desplazar varios kms no habría contratado con ellos.",Opinión sobre Openbank
1.0,"Decepcionante entidad bancaria. He hablado con ellos mas de cinco horas y no han solucionado el problema. Lo unico que saben es pasarte de gestor a gestor y cada vez me atiende uno mas ncompetente. Asi pasan los meses sin resolver el problema que tienen con el dichoso sistema operativo. En resumen, un desastre de banco.",Opinión sobre Openbank
1.0,"Si tenéis pensado meter vuestro dinero en este proyecto de banco, pensaroslo bien.Mejor pagar comisiones y tener trato personal cara a cara que enviar vuestras naves a luchar contra estos elementos. Me ahorraré calificativos para no darle trabajo al moderador",Opinión sobre Openbank
1.0,"A ver si en OPENBANK contratan a un grafólogo, porque vaya pesadilla. No hay foma de conseguir mi clave operativa (sí recuerdo la de acceso) porque les envío por carta mi DNI y MI FIRMA y dicen que no reconocen mi firma.Me mandaron ir en persona a x oficina que dijeron ellos  (no valía cualquiera) y allí dijeron  que no podían ni certificar que yo soy yo ni hacer el la gestión para mandar la clave(con cambio de domicilio) ni nada. TRES veces envié solicitud y TRES que dicen que no .",Opinión sobre Openbank
1.0,"No recomendaría este banco ni a mí peor enemigo.Me bloquearon la cuenta alegando falta de documentación, después de haber aceptado las transferencias de otra cuenta a mi nombre.Tras innumerables llamadas me siguen ****, me hicieron perder un día de trabajo para presentarme en banco Santander y allí también me dieron largas. Una semana de hipertensión y la cuenta sigue bloqueada. Unos auténticos sinvergüenzas que espero acaben en el paro, aunque yo los metería en la cárcel directamente",Opinión sobre Openbank
1.0,"Dejo 1 estrella solo porque no se puede poner meno, 25 días intentando abrir una cuenta y me piden siempre la misma documentación, cuando digo que ya la tienen de hace tiempo y después de controlar me confirman y me dicen que está todo listo al día siguiente me envían otro mensaje pidiendo la documentación. Así por 25 días sin conseguir nada.Alta incompetencia y esto solo para abrir la cuenta, no quiero pensar si un cliente tuviera un problema serio... Mejor buscar otro banco",Opinión sobre Openbank
1.0,"Malisimos, unos ****, una pesadia. Dos meses mareando con los documentos para abrir una cuenta que nunca se abrio ,me ponen hacer una transferencia desde otra cuenta a la de openbank, me siguen mareando un mes mas y cuando me decido de que ya es suficiente que me devuelvan el dinero y que ya no quiero nada mas de ellos me dicen que lo han comunicado al departamento. Aun esperando...sin palabras. Un empleado te dice algo por telefono, otro te contesta por email con algo distinto..asi van",Opinión sobre Openbank
1.0,"Muy, muy,muy ineficientes..... cómo concepte: muy bien....la execución- FATAL",Opinión sobre Openbank
1.0,"Este banco no activa la cuenta corriente, piden dinero para activar la cuenta, siguen sin activar la cuenta pero ya consiguieron mi dinero, llamas te dan largas con excusas baratas, no te dicen donde puedes enviar reclamacion oficial al banco.  Se quedan mi dinero, la cuenta bloqueada y sin solucion. NO RECOMIENDO ESTE BANCO.",Opinión sobre Openbank
1.0,"Después de un mes sigo esperando que me activen la cuenta. Es un poco raro la manera que este Banco opera, La verdad no lo recomiendo para nada.",Opinión sobre Cuenta Nómina Open
1.0,"Imposible darse de alta. Nos dijeron que tardaban 4 días y llevamos 10 días y todavía no tenemos nada donde poder sacar dinero o ingresarlo o domiciliar. Nos indicaron que podíamos entregar todo en cualquier sucursal del Santander, y cuando llegamos al Santander ellos no se hacían cargo de ningún papel de openbank. Nos atienden al teléfono pero siguen dándonos largas.",Opinión sobre Openbank
3.0,Poderla contratar online es una comodidad que otras no tiene,Opinión sobre Hipoteca Open Mixta
4.0,"Aunque al principio fue un lio entregar todos los papeles que nos pedian, al final conseguimos firmar la hipoteca mas o menos rapido y sin ningun problema.",Opinión sobre Hipoteca Open Fija
