score,comentario,opinion
1,"Cuando accedo a mi cuenta online, pago yo internet y gestiono yo mi tiempo, mis recursos y mi dinero. ¿Ellos que hacen para cobrar comisiones? De administración? De mantenimiento? Si llamas para pedir información detallada de esas comisiones, te dicen que esa información no te la pueden dar. Los clientes estamos totalmente desprotegidos ante los bancos como Abanca que  parecen impunes a todo y se les permite hacer lo que le da la gana...",Opinión sobre ABANCA
1,"byby abanca. ni cuenta online, ni nada...... sois unos ****. espero que las comisiones se os atraganten los proximos veinte años. Y.... no **** mas a la gente,, por favor.",Opinión sobre ABANCA
1,Los 50€ de comisión de mantenimiento por una cuenta online son una absoluta ****...,Opinión sobre ABANCA
1,Si pudiera cumplir todo lo que piden para cero comisiones no me importaría pagarlas. Para no pagarlas hay que tener dinero. La mayoria de pensionistas no ganan más de 750 € mes. Abanca sol ayuda a quien tiene dinero. Abusssooo!!!,Opinión sobre ABANCA
1,"Otro afectado mas de sus comisiones abusivas, y eso que me llamaron, 4 meses atras, para decirme que entraria dentro del plan 0 comisones... Ahora no puedo ni hacer una transferencia sin que me cobren comision, a parte de ladrones son unos embusteros.",Opinión sobre ABANCA
1,"Me deben mi dinero (herencia) desde hace más de 5 años.Tengo todos los impuestos pagados, notarios, abogados, viajes a hacienda y no tengo lo que es mio.Ayudadme a difundir por favor. Es una sitiación de total abuso e indefensión.Gracias.",Opinión sobre ABANCA
1,"Una estrella por no poder poner menos, banco  abusivo con las comisiones ya le vale, aparte del pésimo servicio en la atención presencial.",Opinión sobre ABANCA
1,**** te meten comisiones con un contrato por omision sin darte a firmar nada y te das cuenta 1 mes despues este tipo de contratos son ilegales.,Opinión sobre ABANCA
1,"El cobro de omisiones leoninas,hará que se queden sin un importante número de clientes yo soy una y tengo banca electrónica... vaya que poco trabajo les doy !...estoy buscando otro banco para decirles bye bye después de 30 años .. debiera ser un delito enriquecerse con el sudor de otros ! Pero no tenemos politicos qur nos defiendan ..*****, tiene que hacer algo pir los que le votamos !!! Es su ciudad!!!",Opinión sobre ABANCA
1,"Abanca es una mezcla entre el Tío Gilito y los **** De repente, la cuenta sin comisiones se ha convertido en la cuenta que me cuesta 100 euros al año sólo por estar ahí. Después comisiones por transferencias, tarjetas, retiradas de cajeros... aparte.",Opinión sobre ABANCA
1,"esta entidad es nefasta para operar con banca online, cada vez estoy mas convencido que voy a solicitar la utilización de la cartilla, ya que desconfío totalmente de la cantidad de datos que me pide el sistema para simplemente poder ver mi cuenta, tengo hipoteca y posiblemente voy a tener una entrevista con un abogado de banca para ver como lo enfoco, ya que la entidad me obliga a tener una serie de obligaciones numeraria, esto es insoportable.",Opinión sobre ABANCA
1,"Me cambiaron las condiciones de la cuenta y pasaron a cobrarme 50 euros cada 6 meses en comisiones de mantenimiento,el peor banco de España.",Opinión sobre ABANCA
1,"esta entidad es nefasta para operar con banca online, cada vez estoy mas convencido que voy a solicitar la utilización de la cartilla, ya que desconfío totalmente de la cantidad de datos que me pide el sistema para simplemente poder ver mi cuenta, tengo hipoteca y posiblemente voy a tener una entrevista con un abogado de banca para ver como lo enfoco, ya que la entidad me obliga a tener una serie de obligaciones numeraria, esto es insoportable.",Opinión sobre ABANCA
1,"Programas Cero comisión solo cuando cumples unos requisitos surreales, habiendo tanto banco online me parece de vergüenza",Opinión sobre ABANCA
1,"Siempre he reclamado todas las comiaoones, desde 20 euros hasta 60 céntimos y me las han devuelto. He iniciado el proceso de reclamación de los 50 euros, si me rechazan la devolución cancelaré la cuenta y dejaré sólo una asociada a la hipoteca, sólo para ese uso, en la que me han asegurado no me pueden cobrar comisión",Opinión sobre ABANCA
5,"Todo correcto. Al gestionarla online, no hay comisiones, lo cual se agradece, porque si tuviese que ser en oficinas, que en Barcelona hay cuatro contadas...",Opinión sobre Cuenta Clara Abanca
1,Pongo un estrella porque no se puede poner menos. Después de 35 años con elllos: Nómina Hipoteca Recibos domiciliados. Targetas con importantes gastos me cobran comisiones abusibas. chao y jaláÁ se os de todo el mundo de baja. Me siento traicionado por esta entidad donde llevo toda mi vida y donde hago todos los trámites online. El trato recibido en ventanilla al intentar pedir explicaciones vergonzoso el chaval me dice que eso es como la telefonía móvil...en fin la cagasteis bien,Opinión sobre ABANCA
1,"20 años con ellos , siempre con la nómina con ellos, todo movimiento , ingresos, transferencias...hace unos meses me dijeron ellos mismos que no me podían  cobrar comisiones...y vaya si las cobraron...50e de cada cuenta cada 6 meses, en unos días toca sacar todo de este banco propiedad de los amigos de feijoo",Opinión sobre ABANCA
1,"Años en la entidad, productos contratados, saldos elevados y cambian las condiciones sin avisar para cobrar comisiones. Y por cierto, empleados de sucursales con escasa profesionalidad y atención.Entidad financiera para abandonar",Opinión sobre ABANCA
1,"Cobran 100 veuros anuales de comisiones.Durante la pandemia y ahora en nueva normalidad cerraron oficinas y apenas hacen trámites ,los teníamos que hacer los clientes en cajeros y a pesar de todo cobran comisiones de mantenimiento......la solución será cambiar las cuentas de banco.Se rien de la gente y la atención en en sus oficinas pésima.",Opinión sobre ABANCA
3,un poco lentos,Opinión sobre Hipoteca Mari Carmen a tipo fijo
1,"Cobran comisiones hasta por respirar y ahora lo más gracioso es la comisión que cobran de casi 50 euros por no darle uso a la tarjeta, es gracioso porque ya cuesta tener dinero en la cuenta debido  a la situación del COVID19 como para pagar una comisión.  Pésimo servicio y baja información sobre lo que pagas. No recomiendo nada este banco,  es nefasto cómo  se hinchan los bolsillos a costa de sus clientes!!!!",Opinión sobre ABANCA
1,"Con nómina domiciliada y haciendo todo online, te cobran 100 euros al año de comisiones. A parte a mi abuelo jubilado que solo tiene una pequeña pensión tambien le cobran lo mismo.",Opinión sobre ABANCA
1,"Cambian las condiciones sin avisar, empiezan a cobrar por cosas que en el contrato se estableció que era gratuito. Mala atención y mal servicio",Opinión sobre ABANCA
1,Ahora empiezan a cobrar comisiones de mantenimiento... 50 EU cada 6 meses y 2 EU por las transferencias... Esta semana voy a cambiar las 10 cuentas que tenemos entre toda la familia... Sois unos **** con mayúsculas. Ya veremos con los clientes que os quedáis,Opinión sobre ABANCA
1,Cobran comisión de mantenimiento por una cuenta que solo y exclusivamente se utiliza para pagar la hipoteca que tengo con ellos.,Opinión sobre ABANCA
1,"Llevo con la cuenta clara casi 5 años, no pueden cobrarme comisiones de ningún tipo, y desde el.estado de alarma producido por el covid, me han cobrado comisiones por comisiones, comisión de mantenimiento de casi 6 eu, comisión de mantenimiento de casi 37 eu, y comisión por a hacer transferencia nacional desde el teléfono de 2 eu, pero tengo por contrato que no me pueden cobrar comisiones.. no los aconsejo, nos están robando y engañando, nuestro alcalde de vigo quiere sentarse con el director.",Opinión sobre ABANCA
1,"No puedo decir más que estos individuos me han estado queriendo tomar el pelo desde que abrí una cuenta en su banco. Robandome comisión tras comisión que se sacan de la manga porque si, ya he perdido la cuenta de todo lo que me han mangado estos fenómenos. No le recomiendo a nadie este banco. No tienen para nada en cuenta la situación financiera del cliente y cobran de manera automatizada comisiones extremadamente abusivas y con afán de enriquecerse únicamente. NEFASTO.",Opinión sobre ABANCA
1,Cobran comisiones abusivas y dan información sesgada sobre las mismas,Opinión sobre ABANCA
1,"Muy mal cobrar esas comisiones en estos tiempos, 42 euros vaya tela,creo que me voy a cambiar la cuenta a otro banco,increible",Opinión sobre ABANCA
1,"Hace no muchos años perdieron miles de clientes por las tremendas comisiones que empezaron a cobrar, la sangría les obligó a sacar un programa sin comisiones... años después vuelven a lo mismo, Ya no quieren ser un banco para todos pero por suerte sigue habiendo algún banco/caja que está absorbiendo esa clientela no premium que a Abanca ya no interesa y que te permite no pagar comisiones con una pensión normal sin tarjetas ni seguros, ni...",Opinión sobre ABANCA
1,"Todo gestionado olnine y cobran 50 por comisiones y 2 euros por transferencia, después de 30 años dejo Abanca.",Opinión sobre ABANCA
1,Abanca es un cachondeo total 3 cuentas seguro tarjetas y todo online y cobran comisiones .**** total,Opinión sobre Cuenta Clara Abanca
1,"No recomendable, en mi opinión es un buen sitio para gastar dinero no para ahorrar.",Opinión sobre ABANCA
1,"He pedido mi contrato para leerlo: me dieron otro contrato y dijeron que para leerlo, tenia que firmarlo. Me cobraron 3,60 para cerrar mi cuenta encima de las comisiones abusivas de 50 euros de junio 2020. Nunca mas, Abanca.",Opinión sobre ABANCA
1,Que verguenza de banco!!! me voy!!!,Opinión sobre ABANCA
1,"Mas **** no se puede ser, a mi mujer se hizo el seguro para el el programa 0 comisiones en 2019 le dijeron en el banco q no le cobrarian nada d comisiones ,ante la sorpresa cuando va a ver la cuenta q le cobraron x mantenimiento y administraccion va al banco y le dicen q habia cambiado los terminos pero ella firmo x un año con esas condiciones y la modificaron unilateralmente para el beneficio d ellos es increible q la ley permita semejante **** a gente con escasos recursos****",Opinión sobre ABANCA
1,"Alguien ha asesorado muy mal a Abanca para que, en el peor momento económico de nuestra historia reciente, hayan aplicado linealmente unas altas comisiones, esto es pasar de 0 comisiones a 100 euros año en cuenta, y 28 euros en la tarjeta con la que se opera en el cajero .",Opinión sobre ABANCA
1,me han cargado 75€ comisiones cambio de banco seguro ...,Opinión sobre ABANCA
1,"No me puedo creer las comisiones que mos están clavando, tengo un seguro, plan de pensiones y una nómina superior a los 2000€. Me piro de estos ****",Opinión sobre ABANCA
1,"Le doy una estrella porque no puedo menos.Comisiones y mas comisiones con la que esta cayendo.Ya estoy viendo otro banco ,solo merecen la estampida .Mas de 30 años siendo cliente",Opinión sobre ABANCA
1,"Es un verdadero escandalo , este mes me han pasado 80 € , por comision cuenta 40 € , comision tarjeta 28€ , administaracion 8€,. una transferencia 2€,. Les llamo para hablar con mi gestor o gestora y esta en teletrabajo , Me atiende una subdirectora , y como si hablase con una piedra , va por el libro que le han mandado leer , y o haces algun seguro , o tienes 30000 € en sus fondos .....etc ... Es decir cliente con una pension superior a los dos mil € al mes , todos los recibos domiciliados y",Opinión sobre ABANCA
1,"Adquieren un compromiso d cero comisiones y en meses comienzan a cobrar comisiones abusivas por importe de 100€/año por cada cuenta (en administración y mantenimiento). Algo q está en contra del Libro d Buenas Prácticas dl Banco d España. Las reclamas e intentan q contrates con ellos un seguro, un préstamo o q les garantices el uso de una tarj. de crédito. ****,...mucha publicidad y la misma **** y vicios q las preferentes o Subordinadas. Un cliente menos. no recomendables",Opinión sobre ABANCA
1,Descontenta por los cobros de comisione.Estoy muy descontenta seguramente me cambio de banco.,Opinión sobre ABANCA
1,Cobran demasiada comisión el monto es exagerado.,Opinión sobre ABANCA
1,"ABANCA pasa por **** a sus clientes con cuotas de mantenimiento y comisiones, pretenden que paguemos sus despidos y las jubilaciones de sus jefes. Acabaran por perder sus clientes. Que se preparen se va producir una estampida de clientes...",Opinión sobre ABANCA
1,"Despues de 42 años con ellos,una nómina de 1300 euros ;targetas...me pasan casi 50 euros,en lo que dicen comisiones de mantenimiento,y sin previo aviso...en fín,ya me he cambiado de banco y por supuesto no recomiendo a nadie Abanca",Opinión sobre ABANCA
1,Son unos ****. Te cobran hasta por respirar,Opinión sobre ABANCA
1,"Empiezan muy bien y cuando te pillan, te **** descaradamente. Yo tengo 2 cuentas que les van a volar. Por mi que cierren ya.",Opinión sobre ABANCA
1,"Son unos **** 94 euros de comisiones por cuenta y una tarjeta de crédito, hay que irse cuanto antes.",Opinión sobre ABANCA
1,"Estos cobran comisiones. Tengo una cuenta allí con un ingreso mensual de una pensión, varios recibos. Cobran (a mi 6euros de comisión de mantenimiento). Para que no te cobren tienes que cumplir muchos requisitos, que son muy ventajosos para ellos.",Opinión sobre Cuenta Clara Abanca
1,"Lo de las comisiones na inmoralidad, todos a presentar reclamaciones en Consumo.",Opinión sobre ABANCA
1,"Despues de 30 años con todos los recibos domiciliados y una hipoteca, me pasan 42 por comisiones y 8 por gastos administrativos en cada una de ellas. Quien se puede permitir pagar 200 euros al año a tu banco por gestionar tu dinero???yo no. Lo gracioso e que pones en el buscador ""comisiones abanca"", y te salen anuncios del programa cero comisiones. De risa.",Opinión sobre ABANCA
1,"20 años con ellos desde caixavigo,con sus increíbles gestiones han logrado alejarse cada vez más de las personas por eso yo ya tengo un pie fuera de sus maravillosos planes para mí futuro.",Opinión sobre ABANCA
1,"****. 50 euros cada seis meses, por un servicio pésimo.",Opinión sobre ABANCA
1,"Modifican su programa 0 comisiones unilateralmente, algo que está muy bien para los que lo puedan tener, pero para la gente normal es inaccesible obligandote a tener una tarjeta de crédito o saldo medio de 8000€ por titular. Mañana me vuelvo a ING y les dejo la hipoteca y listo.",Opinión sobre ABANCA
1,"Pues opino lo mismo que mis predecesores, un **** 50 € por gestionarlo todo online. Habrá que mirar otras opciones",Opinión sobre Cuenta Clara Abanca
1,Cobran por todo. Han destrozado lo que era una buena caja.,Opinión sobre ABANCA
1,"**** es lo que son. esta modalidad bancaria en lugar de un servicio es un negocio ****. yo tengo varias cuentas, de ahorro con solvencia, y una para gestionar la hipoteca, en la que me han pasado la nueva comisión, hermosa 42 euros !!, no 5 ni 10...nada de tonterías. yo también los dejaré en cuanto pueda. estoy empezando a odiarles, primero vendieron preferentes a todos los mayores, y ahora esto.",Opinión sobre ABANCA
1,40 euros de comisiones...Son unos ****,Opinión sobre ABANCA
1,"en el contrato firmé 0 comisiones, quien hace el contrato hace la trampa",Opinión sobre ABANCA
1,40 euros en comisiones por la cara! En plena crisis de las familias!,Opinión sobre ABANCA
1,Cobran unas comisiones por mantenimiento de cuenta muy altas.,Opinión sobre ABANCA
1,"40 euros en comisiones, haciendo todas mis gestiones por banca electrónica. Estoy en shock!",Opinión sobre ABANCA
1,"Nómina de 1400€, solvencia demostrada y aún así me cobran 42€ de mantenimiento de cuenta y 8 de gastos administrativos haciendo todas las gestiones por banca electrónica. Y encima ahora cada vez que quieres hacer una transferencia en su app te cobran 2€. Ya estoy en gestiones para cambiarme a ING.",Opinión sobre ABANCA
1,Una vergüenza de banco,Opinión sobre ABANCA
2,"tengo cuenta en abanca desde los 5 años y actualmente tengo 57. este mes me han cobrado de comision y mantenimiento 50 € y 2 € por hacer una transferencia, me parece un ****. tengo la nomina domiciliada en esta cuenta, ""programa 0 comisiones"" no he podido ir a la oficina por motivos de salud pero en cuanto pueda pasare para darme de baja, anular la cuenta y cambiar de entidad bancaria.",Opinión sobre Cuenta Clara Nómina
1,"Pesimo banco ,**** 90 e de comisiones me conbraron por 2 cuentas despues de 3 meses sin cobrar el ERTE encima me roban segun ellos porqie no mantenia el saldo minimo ,normal si llevo 3 meses sin cobrar!!! Y todo esto despues de 15 años con ellos .****",Opinión sobre ABANCA
